"@title,""Spanish""";
"#01255,""Come, town developers!<br>Let's make this place great!<br>(Special) (Developers +1)""";
"#01256,""New Devs Leaflet""";
"#01257,""New town developers<br>are needed urgently!<br>(Special) (Developers +1)""";
"#01258,""Chainsaw""";
"#01259,""Power tool guaranteed to do the job.<br>(Special)<br>(Tree Felling Speed UP)""";
"#01260,""Rock Crusher""";
"#01261,""An easy to use rock crushing power tool.<br>(Special)<br>(Rock Removal Speed UP)""";
"#01262,""About the Game""";
"#01263,""Shiny Ski Resort<br>In this ski resort management simulation<br>game you will be running a hotel and<br>expanding a ski course. Introduce new<br>facilities to draw in more guests and<br>make skiing the most popular sport ever!""";
"#01264,""Game Flow""";
"#01265,""▼ Game Flow<br>Add various facilities to your hotel to make it more popular and get more guests.<br>Investiga new productos and develop land to expand your resort and conquer the rankings.""";
"#01266,""Guests""";
"#01267,""▼ Guests 1/4<br>As your hotel popularity and customer base grow, you will get more guests.<br>Guests who stay only one day will ski after using the lockers. Overnight guests will use the guest rooms first.""";
"#01268,""▼ Guests 2/4<br>In the Hotel: Guests get changed in the locker rooms, then go skiing. On their way back they may use facilities like shops. You can determine the paths they take by laying down carpets.""";
"#01269,""▼ Guests 3/4<br>On the Ski Course: Guests take the ski lift to an elevation they're comfortable with based on their skill level. They earn EXP after skiing. If their HP reaches 0, they'll fall over.""";
"#01270,""▼ Guests 4/4<br>Broadening Customer Base: Investiga and build new facilities to encourage new guests to come.""";
"#01271,""Guests' Abilities""";
"#01272,""▼ Guests' Attributes 1/4<br>- HP: Becomes depleted when skiing.<br>- Skill: The higher it is, the faster a guest can ski. Slows down HP depletion.""";
"#01273,""▼ Guests' Attributes 2/4<br>- Appeal: The higher the appeal, the more the guest buys at shops, and the more EXP they get.<br>- Funds: Needed to use facilities.""";
"#01274,""▼ Guests' Attributes 3/4<br>- Interest: Affects how quickly the guest's Skill and Appeal increase. Interest increases when making use of facilities in the hotel.""";
"#01275,""▼ Guests' Attributes 4/4<br>- Food/Drink: Guests become hungry or thirsty when their food/drink gauges are empty, and are then more likely to head to restaurants and food stores. HP recovers when gauge is full.<br>- Satisfaction: Funds go up when maxed.""";
"#01276,""Hotel Facilities""";
"#01277,""▼ Hotel Facilities 1/5<br>- Fee: The amount of money you get when a guest uses a facility.<br>- Maintenance: The maintenance cost paid at the end of each month.""";
"#01278,""▼Hotel Facilities 2/5<br>- Popularity: How attractive the facility is to the guests.<br>- Appeal: Increases guests' Interest.""";
"#01279,""▼Hotel Facilities 3/5<br>- Bonus: Gain extra money based on Popularity and Appeal.""";
"#01280,""▼Hotel Facilities 4/5<br>- Interest in Facilities: The higher the gauge, the more likely guests are to use the facility, and the more satisfied they will be with it.""";
"#01281,""▼Hotel Facilities 5/5<br>- Compatibility: Compatibility with other facilities affects Interest.<br>- Combos: Certain combinations of facilities increase Fees and Appeal.""";
"#01282,""Land Development""";
"#01283,""▼ Land Development<br>Tap trees growing near the ski course to clear the land for development and gain materials.""";
"#01284,""Investiga""";
"#01285,""▼ Investiga<br>Invest materials and work on research ideas you have found to create new facilities.<br>Investiga takes some time to complete.""";
"#01286,""Sponsors""";
"#01287,""▼ Sponsors<br>Your evaluation with sponsors depends on the number of guests who come to your resort during the contract period.<br>Keep the same sponsor longer to increase Friendliness and they'll give you gifts.""";
"#01288,""Upgrades""";
"#01289,""▼ Upgrades 1/2<br>Once you reach a certain rank, you will be able to upgrade facilities using materials, increasing their Fee and Popularity.""";
"#01290,""▼ Upgrades 2/2<br>You can make new productos for your shops. Products level up after a certain amount is sold.""";
"#01291,""Ski Upgrades""";
"#01292,""▼ Ski Upgrades<br>Once you construct the Upgrader, you will be able to upgrade skis, enhancing their stats and increasing the rental fee.""";
"#01293,""Lifts""";
"#01294,""▼ Lifts<br>The farther the lift goes, the better the Course Vibe. Lift type affects which stats it boosts. Having multiple lifts has the best effect.""";
"#01295,""Ski Course""";
"#01296,""▼ Ski Course 1/2<br>Guests gain more EXP on longer ski courses, but if they get too cold, their HP will go down fast.""";
"#01297,""▼ Ski Course 2/2<br>Guests will lose a lot of HP in bad weather. It helps if there are areas where they can rest and recover HP on the course.""";
"#01298,""Ski Course Facilities""";
"#01299,""▼ Ski Course Facilities 1/3<br>- Ski Jump: Gives EXP to Appeal.<br>- Floodlights: Light up the course at night, preventing accidents.""";
"#01300,""▼ Ski Course Facilities 2/3<br>- Netting: Keeps guests away. If it's in the way, guests may become entangled and fall.""";
"#01301,""▼ Ski Course Facilities 3/3<br>- Statues: Affect the Course Vibe. Get upgrade points when guests pass by.""";
"#01302,""Upgrade Points""";
"#01303,""▼ Upgrade Points<br>Get them when guests pass by statues on the ski course. Can be used instead of materials for upgrades.""";
"#01304,""Ads""";
"#01305,""▼ Ads<br>Advertising gets you more fans, expanding your customer base and getting you new research ideas. It can even attract certain special guests.""";
"#01306,""Contests""";
"#01307,""▼ Contests<br>Unlock as you progress in the game.<br>Have guests with good stats compete,<br>representing your resort. Use items<br>from sponsors to increase the odds of<br>winning. Victory increases Friendliness<br>with sponsors.""";
"#01308,""High Score""";
"#01309,""▼ High Score<br>Your final score is calculated at the end of June in Year 8. You can keep playing after that for as long as you like.""";
"#01310,""About This Game""";
"#01311,""Lv1""";
"#01312,""=MID(#01311,1,-1)&'2'""";
"#01313,""=MID(#01311,1,-1)&'3'""";
"#01314,""=MID(#01311,1,-1)&'4'""";
"#01315,""=MID(#01311,1,-1)&'5'""";
"#01316,""=MID(#01311,1,-1)&'6'""";
"#01317,""=MID(#01311,1,-1)&'7'""";
"#01318,""=MID(#01311,1,-1)&'8'""";
"#01319,""Regular Outfit""";
"#01320,""=#00540""";
"#01321,""=#00544""";
"#01322,""=#00547""";
"#01323,""=#00550""";
"#01324,""=#00553""";
"#01325,""Hotel Expansion""";
"#01326,""Make the hotel bigger.""";
"#01327,""Upgrader""";
"#01328,""Investiga ski-upgrading.""";
"#01329,""Comment Box""";
"#01330,""Make a box for guests' feedback.""";
"#01331,""Tour Group""";
"#01332,""Draws in more guests.""";
"#01333,""Skiing Vacations""";
"#01334,""Ladies' Day""";
"#01335,""Draws in more female guests.""";
"#01336,""Kiddies' Day""";
"#01337,""Draws in more children.""";
"#01338,""Seniors Ski Holidays""";
"#01339,""Draws in more senior guests.""";
"#01340,""Snowboard Rental""";
"#01341,""Devise a snowboard rental plan.""";
"#01342,""Sled Rental""";
"#01343,""Devise a sled rental plan.""";
"#01344,""Dark Bean Café""";
"#01345,""Investiga what makes a great café.""";
"#01346,""Crepe Shop""";
"#01347,""Investiga how to run a crepe shop.""";
"#01348,""Stove""";
"#01349,""Investiga efficient stoves.""";
"#01350,""Footbath""";
"#01351,""Investiga relaxing footbaths.""";
"#01352,""Hot Spring Bath""";
"#01353,""Investiga natural hot spring baths.""";
"#01354,""Large Hot Spring""";
"#01355,""Investiga large-scale hot spring baths.""";
"#01356,""Sauna""";
"#01357,""Investiga saunas.""";
"#01358,""=#00613""";
"#01359,""Investiga beauty salons.""";
"#01360,""=#00675""";
"#01361,""When you have nothing better to do...""";
"#01362,""Snowbell""";
"#01363,""Investiga bells to place on the ski course.""";
"#01364,""Arcade Game""";
"#01365,""Investiga retro game machines.""";
"#01366,""Leafy Potted Plant""";
"#01367,""Investiga potted plants with big leaves.""";
"#01368,""Potted Tree""";
"#01369,""Investiga small potted trees.""";
"#01370,""Potted Palm""";
"#01371,""Investiga exotic potted plants.""";
"#01372,""Spacious Room""";
"#01373,""Investiga double guest rooms.""";
"#01374,""Deluxe Room""";
"#01375,""Investiga kingsize guest rooms.""";
"#01376,""Cheery Plant""";
"#01377,""Brightens everyone's day.""";
"#01378,""Mallet Game""";
"#01379,""Investiga mallet games with toy rewards.""";
"#01380,""Auto-Vendor""";
"#01381,""Investiga pricey vending machines.""";
"#01382,""Fan""";
"#01383,""Investiga large fans.""";
"#01384,""Gift Shop""";
"#01385,""Investiga souvenir stores.""";
"#01386,""Big Gift Shop""";
"#01387,""Investiga big souvenir stores.""";
"#01388,""Flowers""";
"#01389,""Investiga cold-resistant flowers.""";
"#01390,""Floodlight""";
"#01391,""Investiga night-time ski course lights.""";
"#01392,""Illumination""";
"#01393,""Mogul Course""";
"#01394,""Investiga making bumpy courses.""";
"#01395,""Kicker""";
"#01396,""Investiga snow ramps for jumping.""";
"#01397,""Ski-Jump""";
"#01398,""Investiga jump platforms.""";
"#01399,""Ski Investiga Lv1""";
"#01400,""Investiga new skis.""";
"#01401,""=MID(#01399,1,-1)&'2'""";
"#01402,""=MID(#01399,1,-1)&'3'""";
"#01403,""Board Investiga Lv1""";
"#01404,""Investiga new snowboards.""";
"#01405,""=MID(#01403,1,-1)&'2'""";
"#01406,""=MID(#01403,1,-1)&'3'""";
"#01407,""Sled Investiga Lv1""";
"#01408,""Investiga new sleds.""";
"#01409,""=MID(#01407,1,-1)&'2'""";
"#01410,""=MID(#01407,1,-1)&'3'""";
"#01411,""Curry House""";
"#01412,""Investiga local specialty curry.""";
"#01413,""Massage Salon""";
"#01414,""Investiga relaxing massage salons.""";
"#01415,""Café Table""";
"#01416,""Investiga café-style tables.""";
"#01417,""Lobby Table""";
"#01418,""Investiga glass top tables.""";
"#01419,""Dining Table""";
"#01420,""Investiga dining tables.""";
"#01421,""Buffet""";
"#01422,""Investiga what makes a popular buffet.""";
"#01423,""Photo Booth""";
"#01424,""Investiga cutesy photo booths.""";
"#01425,""Claw Machine""";
"#01426,""Investiga claw machines.""";
"#01427,""Rose Pot""";
"#01428,""Investiga beautiful potted flowers.""";
"#01429,""Fountain""";
"#01430,""Investiga gorgeous fountains.""";
"#01431,""Chicken Coop""";
"#01432,""Investiga coops for hens.""";
"#01433,""Sheep Barn""";
"#01434,""Investiga barns for wooly sheep.""";
"#01435,""Cow Barn""";
"#01436,""Investiga barns for milk cows.""";
"#01437,""Log Cabin""";
"#01438,""Investiga charming log cabins.""";
"#01439,""Offering Box""";
"#01440,""Investiga mini offering boxes.""";
"#01441,""Smithy""";
"#01442,""Investiga a sword smithy.""";
"#01443,""Shrine""";
"#01444,""Investiga shrines based on the pamphlet.""";
"#01445,""Skiing School""";
"#01446,""Investiga skiing schools.""";
"#01447,""Skiing Academy""";
"#01448,""Investiga skiing academies.""";
"#01449,""Mini Gym""";
"#01450,""Investiga fitness facilities.""";
"#01451,""Medium Gym""";
"#01452,""Investiga bigger fitness facilities.""";
"#01453,""Large Gym""";
"#01454,""Investiga even bigger fitness facilities.""";
"#01455,""Large Snowman""";
"#01456,""Get rolling and make a huge snowman.""";
"#01457,""Dragon Statue""";
"#01458,""Investiga statues to put by the ski course.""";
"#01459,""Duck Statue""";
"#01460,""Penguin Statue""";
"#01461,""Piggy Statue""";
"#01462,""Flan Statue""";
"#01463,""Hand Statue""";
"#01464,""Snowman Display""";
"#01465,""Investiga ways to preserve snowmen.""";
"#01466,""Kit Investiga Lv1""";
"#01467,""Investiga new clothing.""";
"#01468,""=MID(#01466,1,-1)&'2'""";
"#01469,""=MID(#01466,1,-1)&'3'""";
"#01470,""Ice Palace""";
"#01471,""Investiga stunning ice palaces.""";
"#01472,""Heated Pool""";
"#01473,""Investiga heated swimming pools.""";
"#01474,""Shower Room""";
"#01475,""Investiga power showers.""";
"#01476,""Ramen Shop""";
"#01477,""Investiga legendary ramen.""";
"#01478,""Eat Wild Shop""";
"#01479,""Investiga the foraged veggies business.""";
"#01480,""Large Fireplace""";
"#01481,""Investiga impressive fireplaces.""";
"#01482,""Barrel""";
"#01483,""Investiga stylish wooden barrels.""";
"#01484,""Flower Barrel""";
"#01485,""Veggie Planter""";
"#01486,""Investiga planters for vegetable growing.""";
"#01487,""Sledding Sack""";
"#01488,""Investiga vinyl sacks suitable for sledding.""";
"#01489,""Vineyard & Mill""";
"#01490,""Investiga windmills.""";
"#01491,""Assembly Point""";
"#01492,""Investiga how to create assembly points.""";
"#01493,""Audio Player""";
"#01494,""Investiga audio players popular with youths.""";
"#01495,""Kids' Play Area""";
"#01496,""Investiga play areas for kids.""";
"#01497,""Large Fir""";
"#01498,""Investiga large fir trees.""";
"#01499,""Bonsai""";
"#01500,""Investiga funky bonsai.""";
"#01501,""Large Bonsai""";
"#01502,""Town Renewal""";
"#01503,""Investiga how to redevelop the town.""";
"#01504,""Train Schedule""";
"#01505,""Investiga how to give better train service.""";
"#01506,""Broadcast Tower""";
"#01507,""Investiga broadcast towers.""";
"#01508,""Mountain Shelters""";
"#01509,""Investiga shelters for overnight hikers.""";
"#01510,""Yeti Kit""";
"#01511,""Investiga yeti investigation kits.""";
"#01512,""Y-Squad Hat""";
"#01513,""Investiga Yeti Squad hats.""";
"#01514,""Weather Radar""";
"#01515,""Investiga weather radars.""";
"#01516,""Paperbot""";
"#01517,""Investiga sketchy robots.""";
"#01518,""Observatory""";
"#01519,""Investiga observatories.""";
"#01520,""Town Developers""";
"#01521,""Recruit new developers.""";
"#01522,""=#01258""";
"#01523,""Investiga chainsaws for development work.""";
"#01524,""=#01260""";
"#01525,""Investiga machines for removing rocks.""";
"#01526,""Single Chairlift""";
"#01527,""Chairlift for one person. Makes<br>reaching the summit a breeze.""";
"#01528,""Double Chairlift""";
"#01529,""Chairlift for two people.<br>Improves the vibe of the course.""";
"#01530,""Gondola""";
"#01531,""Good carrying capacity. Greatly<br>improves the vibe of the course.""";
"#01532,""Harvest-Drying Lift""";
"#01533,""Strange lift which can be<br>used to dry harvested rice.""";
"#01534,""Ground""";
"#01535,""Slope""";
"#01536,""Slope Part""";
"#01537,""Shaft""";
"#01538,""Lift Boarding""";
"#01539,""Lift Drop-Off""";
"#01540,""Road""";
"#01541,""Bus Stop""";
"#01542,""Summit""";
"#01543,""Plain Floor""";
"#01544,""Bare floor.<br>Can be reset to default.""";
"#01545,""Red Carpet""";
"#01546,""Makes paths for guests to follow.<br>The carpet is removable.""";
"#01547,""Sparkly Mat""";
"#01548,""A glittering mat that's sure<br>to make an impression.""";
"#01549,""Resin Mat""";
"#01550,""A non-slip mat that skiers<br>are likely to appreciate.""";
"#01551,""Brick Tile""";
"#01552,""Adds a rustic feel and creates<br>a relaxing atmosphere.""";
"#01553,""Blue Carpet""";
"#01554,""Green Carpet""";
"#01555,""Yellow Carpet""";
"#01556,""Wooden Floor""";
"#01557,""A raised floor with a rough, natural feel.""";
"#01558,""Fence""";
"#01559,""Tree""";
"#01560,""Pole""";
"#01561,""Signboard""";
"#01562,""Streetlight""";
"#01563,""Ski Rack""";
"#01564,""Shrubbery""";
"#01565,""Hall Tree""";
"#01566,""Border Cover""";
"#01567,""Border Cover 2""";
"#01568,""Not Used""";
"#01569,""Border""";
"#01570,""=#01088""";
"#01571,""Sandbox""";
"#01572,""Automatic Door""";
"#01573,""Opens and closes automatically.<br>Important for keeping snow out.""";
"#01574,""Lobby""";
"#01575,""The receptionist makes<br>sure to keep it sparkly clean.""";
"#01576,""Ticket Machine""";
"#01577,""Sells lift tickets. Price depends<br>on the state of the slope.""";
"#01578,""=#00567""";
"#01579,""Shop that rents out skiing equipment.""";
"#01580,""Locker Room""";
"#01581,""Guests leave their things here.<br>Make more if it gets full.""";
"#01582,""=#01327""";
"#01583,""Use materials to upgrade rental goods.""";
"#01584,""Guest Room""";
"#01585,""Can be booked for overnight stay.<br>Has lovely soft pillows.""";
"#01586,""=#01372""";
"#01587,""Can be booked for overnight stay.<br>Guaranteed comfort.""";
"#01588,""=#01374""";
"#01589,""Can be booked for overnight stay.<br>Offers a taste of luxury.""";
"#01590,""Souvenir Stall""";
"#01591,""Sell souvenirs and make money.<br>Upgrade to boost sales.""";
"#01592,""=#01384""";
"#01593,""Sells a wide array of souvenirs.<br>Upgrade to boost sales.""";
"#01594,""=#01386""";
"#01595,""Guests will be spoilt for choice.<br>Upgrade to boost sales.""";
"#01596,""ATM""";
"#01597,""Where guests get the money<br>to spend in your stores.""";
"#01598,""Skiing Class""";
"#01599,""Guests can learn to ski from<br>excellent skiing instructors.""";
"#01600,""=#01445""";
"#01601,""=#01447""";
"#01602,""=#01449""";
"#01603,""Guests can work-out and get fit.<br>More popular in the summer.""";
"#01604,""=#01451""";
"#01605,""=#01453""";
"#01606,""Hot Spring (M)""";
"#01607,""Have a long hot soak to<br>unwind after a long day.""";
"#01608,""Hot Spring (F)""";
"#01609,""Big Onsen (M)""";
"#01610,""Nothing better for aching muscles<br>than a long soak in a hot spring.""";
"#01611,""Big Onsen (W)""";
"#01612,""=#01348""";
"#01613,""Keeps the resort warm, drawing<br>in more guests in winter.""";
"#01614,""Banquet Hall""";
"#01615,""=#01344""";
"#01616,""Delicious coffee and snacks<br>for hungry and thirsty guests.""";
"#01617,""=#01346""";
"#01618,""Sweet crepes and more for<br>hungry and thirsty guests.""";
"#01619,""Donut Stall""";
"#01620,""A local's side business. Popular<br>with hungry and thirsty guests.""";
"#01621,""=#01476""";
"#01622,""Specialty ramen for<br>hungry and thirsty guests.""";
"#01623,""=#01411""";
"#01624,""Spicy curry for hungry and<br>thirsty guests.""";
"#01625,""Sauna (M)""";
"#01626,""Guests can test their endurance<br>as their skin gets a detox.""";
"#01627,""Sauna (W)""";
"#01628,""=#00613""";
"#01629,""Massage, treatments and more<br>to make you look your best.""";
"#01630,""=#01380""";
"#01631,""Prices are as steep as the slopes.<br>Also sells hot drinks.""";
"#01632,""=#01364""";
"#01633,""Retro games that help kill time.""";
"#01634,""=#01425""";
"#01635,""Popular with young adults.<br>This one seems quite easy.""";
"#01636,""=#01497""";
"#01637,""A fir from the mountain. Used<br>as a Christmas tree in winter.""";
"#01638,""=#01493""";
"#01639,""Attracts young people.""";
"#01640,""Gramophone""";
"#01641,""A retro device with a classic look.<br>Winds up in 100 turns.""";
"#01642,""=#01382""";
"#01643,""Cools down the area, attracting<br>more guests in summer.""";
"#01644,""=#01429""";
"#01645,""Very relaxing to look at.""";
"#01646,""Pretty fountain that's relaxing to look at.""";
"#01647,""=#01439""";
"#01648,""An offering box at a small shrine.<br>Generates a little money.""";
"#01649,""=#01480""";
"#01650,""A classy brick fireplace.<br>Attracts more guests in winter.""";
"#01651,""Penguins' House""";
"#01652,""Carved out from ice blocks.<br>Attracts more guests in summer.""";
"#01653,""Hedge Planter""";
"#01654,""A pretty planter for bushes.""";
"#01655,""Large Planter""";
"#01656,""A planter for large leafy plants.""";
"#01657,""Huge Planter""";
"#01658,""Frost-resistant pot that<br>can house a tree.""";
"#01659,""Round Tree""";
"#01660,""Frost has no effect on its<br>leaves...because it's plastic.""";
"#01661,""Flower Display""";
"#01662,""Adds a nice atmosphere to the area.<br>The guests like it, too.""";
"#01663,""=#01370""";
"#01664,""Shows how warm the room is<br>to the shivering winter guests.""";
"#01665,""Indoor Garden""";
"#01666,""For cleaner air and a refreshing feel.""";
"#01667,""=#01423""";
"#01668,""Take pics with the ski resort's<br>mascot character.""";
"#01669,""=#01472""";
"#01670,""A recent trend at ski resorts.<br>For relaxing, not swimming.""";
"#01671,""=#01474""";
"#01672,""Take a refreshing shower<br>after an active day out.""";
"#01673,""=#01464""";
"#01674,""A cooler designed to keep<br>snowmen from melting.""";
"#01675,""=#01499""";
"#01676,""Carefully trimmed and tamed<br>nature in miniature.""";
"#01677,""=#01501""";
"#01678,""Blue Floodlight""";
"#01679,""Blue illumination for night-time skiing.""";
"#01680,""Red Floodlight""";
"#01681,""Red illumination for night-time skiing.""";
"#01682,""=#01395""";
"#01683,""Approach it at high speed to jump.<br>Gives out a lot of EXP.""";
"#01684,""=#01397""";
"#01685,""A curved ramp for those<br>amazing long jumps.""";
"#01686,""=#01393""";
"#01687,""A difficult bumpy skiing course.<br>Gives out a lot of EXP!""";
"#01688,""=#01362""";
"#01689,""Popular with children and<br>couples. Its ringing carriers far.""";
"#01690,""=#00675""";
"#01691,""Made from pristine mountain snow.<br>Only lasts through winter.""";
"#01692,""Super Snowman""";
"#01693,""Made from a lot of pristine snow.<br>Impressive while it lasts.""";
"#01694,""Outdoor Shelter""";
"#01695,""A surprisingly warm snow cave.<br>In summer a tent is used.""";
"#01696,""=#01470""";
"#01697,""A breath-taking ice sculpture.<br>It melts in spring.""";
"#01698,""=#01437""";
"#01699,""A sturdy cabin built with wooden logs.""";
"#01700,""Outdoor bath with water from<br>hot springs and great views.""";
"#01701,""Monkey Pool""";
"#01702,""A hot spring for snow monkeys.<br>They seem to like bananas.""";
"#01703,""Cottage""";
"#01704,""A reward for ranking up.<br>Offers a scenic view.""";
"#01705,""=#01443""";
"#01706,""Tourists seem to think this<br>will give them good luck.""";
"#01707,""=#01431""";
"#01708,""Get fresh eggs every day.""";
"#01709,""=#01433""";
"#01710,""A barn only for sheep.<br>You can shear them for wool.""";
"#01711,""=#01435""";
"#01712,""A barn only for cows.<br>Get nutritious, fresh milk.""";
"#01713,""=#01518""";
"#01714,""A state-of-the-art observatory.<br>Serious research happens here.""";
"#01715,""=#01506""";
"#01716,""Broadcasts TV signals. Maybe<br>it also sends messages to space.""";
"#01717,""Chimpan Balloon""";
"#01718,""Balloon shaped like Chimpan Z.<br>Children love it...maybe?""";
"#01719,""Kairo House""";
"#01720,""A little house modeled after<br>Kairobot. Does not explode.""";
"#01721,""Planted Tree""";
"#01722,""An easy to maintain tree planted<br>for its ornamental value.""";
"#01723,""Netting""";
"#01724,""Keeps guests out of dangerous areas.""";
"#01725,""=#01392""";
"#01726,""Lights up the area at night.<br>Can be set to different colors.""";
"#01727,""=#01421""";
"#01728,""Affordable and popular with kids.""";
"#01729,""=#01329""";
"#01730,""Get feedback from guests to help<br>you improve your resort.""";
"#01731,""=#01415""";
"#01732,""Place near cafés so guests can<br>enjoy their food and drink.""";
"#01733,""=#01417""";
"#01734,""A glass table. Blow on it when<br>it's cold and it will fog up.""";
"#01735,""=#01419""";
"#01736,""Large well-built table which<br>somehow makes meals taste better.""";
"#01737,""Wooden Bench""";
"#01738,""Guests are more likely to stop<br>at food stores near a bench.""";
"#01739,""=#01413""";
"#01740,""Stiff shoulders, sore feet and more<br>can be fixed, for a fee.""";
"#01741,""=#01378""";
"#01742,""Have kids play and exercise<br>at the same time.""";
"#01743,""Light-Up Bottle""";
"#01744,""Sunnyflower""";
"#01745,""Puts anyone in a sunny mood.""";
"#01746,""=#01427""";
"#01747,""Beautiful flowers with an air<br>of refined elegance about them.""";
"#01748,""=#01485""";
"#01749,""Practical yet decorative.<br>Harvest your own vegetables.""";
"#01750,""=#01350""";
"#01751,""Improves circulation and<br>general sense of wellbeing.""";
"#01752,""=#01482""";
"#01753,""So big that a person could fit inside.<br>Looks pretty sturdy.""";
"#01754,""=#01484""";
"#01755,""Delicate flowers in a sturdy barrel.<br>An interesting contrast.""";
"#01756,""Balloon Man""";
"#01757,""A jiggly sculpture that can be<br>seen from far away.""";
"#01758,""=#01516""";
"#01759,""A robotic receptionist. Uses<br>outdated punched tape data input.""";
"#01760,""=#01495""";
"#01761,""Balloon play area.<br>Tons of fun for kids.""";
"#01762,""=#01478""";
"#01763,""Fresh wild veggies for sale.<br>Uses the honor system for payment.""";
"#01764,""=#01441""";
"#01765,""Guests can watch a professional<br>blacksmith make real swords.""";
"#01766,""Rest Area""";
"#01767,""A sign that points tired<br>skiers to the rest area.""";
"#01768,""=#01491""";
"#01769,""Tourists can form groups here.""";
"#01770,""=#01457""";
"#01771,""An imposing sculpture.<br>Snow in winter, stone in summer.""";
"#01772,""=#01514""";
"#01773,""Very useful device which<br>outputs weather reports.""";
"#01774,""=#01489""";
"#01775,""Fields of delicious grapes and a<br>scenic view of a windmill.""";
"#01776,""Juice Can Statue""";
"#01777,""A funky snow sculpture. Replaced<br>by a stone one in summer.""";
"#01778,""Wrestler Statue""";
"#01779,""A burly snow sculpture.<br>Replaced by a stone one in summer.""";
"#01780,""=#01459""";
"#01781,""A lifelike snow sculpture.<br>Replaced by a stone one in summer.""";
"#01782,""Game Kid Statue""";
"#01783,""A retro snow sculpture.<br>Replaced by a stone one in summer.""";
"#01784,""=#01463""";
"#01785,""A handy snow sculpture.<br>Replaced by a stone one in summer.""";
"#01786,""Metabok Statue""";
"#01787,""A weird snow sculpture.<br>Replaced by a stone one in summer.""";
"#01788,""=#01460""";
"#01789,""A cute snow sculpture.<br>Replaced by a stone one in summer.""";
"#01790,""=#01461""";
"#01791,""A piggy snow sculpture.<br>Replaced by a stone one in summer.""";
"#01792,""=#01462""";
"#01793,""A jiggly snow sculpture.<br>Replaced by a stone one in summer.""";
"#01794,""Pyramid Statue""";
"#01795,""A snow pyramid.<br>Replaced by a stone one in summer.""";
"#01796,""Sushi Statue""";
"#01797,""A fishy snow sculpture.<br>Replaced by a stone one in summer.""";
"#01798,""Treasure Statue""";
"#01799,""A glamorous snow sculpture.<br>Replaced by a stone one in summer.""";
"#01800,""Wild Foods Statue""";
"#01801,""A wild snow sculpture.<br>Replaced by a stone one in summer.""";
"#01802,""Chicken Statue""";
"#01803,""A clucky snow sculpture.<br>Replaced by a stone one in summer.""";
"#01804,""Coffee Statue""";
"#01805,""A tasty snow sculpture.<br>Replaced by a stone one in summer.""";
"#01806,""Crepe Statue""";
"#01807,""A sweet snow sculpture.<br>Replaced by a stone one in summer.""";
"#01808,""Curry Statue""";
"#01809,""A spicy snow sculpture.<br>Replaced by a stone one in summer.""";
"#01810,""Surimi Statue""";
"#01811,""A swirly snow sculpture.<br>Replaced by a stone one in summer.""";
"#01812,""Dumpling Statue""";
"#01813,""A steamed snow sculpture.<br>Replaced by a stone one in summer.""";
"#01814,""Donut Bowl Statue""";
"#01815,""A holey snow sculpture.<br>Replaced by a stone one in summer.""";
"#01816,""Trophy Statue""";
"#01817,""A cool snow sculpture.<br>Replaced by a stone one in summer.""";
"#01818,""Fun Penguin Statue""";
"#01819,""A popular snow sculpture.<br>Replaced by a stone one in summer.""";
"#01820,""Kairobot Statue""";
"#01821,""Statue of an amazing robot.<br>Built in honor of Kairosoft.""";
"#01822,""Wairobot Statue""";
"#01823,""Hehehe, thanks for playing!<br>Stay tuned for new ones coming out!""";
"#01824,""Sally Prin Statue""";
"#01825,""Brings good fortune to players!<br>No, really... Just wait and see!""";
"#01826,""Camera Kairobot""";
"#01827,""Take pictures of your ski resort<br>and show off to your friends!""";
"#01828,""Sunshine Kairobot""";
"#01829,""Watches over the mountains.<br>Boosts Popularity in summer.""";
"#01830,""Autumnal Kairobot""";
"#01831,""Mmm, the chestnut season!<br>Boosts Popularity in fall.""";
"#01832,""Cutie Sally Prin""";
"#01833,""Nom nom... So bittersweet.<br>Boosts Popularity in winter.""";
"#01834,""=#00533""";
"#01835,""Kairobot doing a special dance<br>to attract more guests.""";
"#01836,""=#00536""";
"#01837,""Wairobot doing a special dance<br>to attract more guests.""";
"#01838,""=#00538""";
"#01839,""Sally Prin doing a special dance<br>to attract more guests.""";
"#01840,""Headline""";
"#01841,""<team>'s regular guest wins a ski contest! The resort's popularity skyrockets and everyone and their mom wants <team> to feature their brand's goods at the resort.""";
"#01842,""●""";
"#01843,""=#01842""";
"#01844,""Brand New Ski Resort""";
"#01845,""A new ski resort, <co=0070c0><team></co>, has opened for business right in the middle of this so-far excellent skiing season.<br><br>Young skiers in particular are showinga great deal of interest. Will it be a hitor a flop? We'll be keeping you posted. Good luck on the trail!<br><br>- <co=00b050>The Ski Radio Station""";
"#01846,""Snowboards to Rent""";
"#01847,""The ever-popular <co=0070c0><team> </co>has now introduced snowboards to their rental store offer.<br><br>Young snowboarders from across the country are flooding the resort to try these new boards on their excellent courses. It's going to be a busy season from the looks of it!<br><br><co=00b050>- The Ski Radio Station""";
"#01848,""Sled Rentals""";
"#01849,""The renowned <co=0070c0><team></co> has expanded its customer base by adding sleds to their <co=0070c0>rental store</co>. Perfect for children, but also liked by adults.<br><br>Their courses are now filled with kids happily sledding under the keen eye of their parents.<br><br><co=00b050>- The Ski Radio Station""";
"#01850,""Full Cast""";
